,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348,cluster_label,graduated
595,2.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,0.0,-2.0,1.0,-2.0,-0.7,1.7000000000000002,0,1
596,-2.0,1.0,2.0,2.0,2.0,0.0,2.0,-2.0,2.0,-2.0,-2.0,0.7000000000000002,2.0,0.7000000000000002,1.0,0.7000000000000002,-2.0,-2.0,-2.0,0,0
597,-2.0,-2.0,1.0,0.0,-1.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
598,0.0,1.0,1.0,2.0,1.0,1.0,0.0,-2.0,0.7000000000000002,-2.0,-2.0,0.0,1.7000000000000002,-1.0,1.0,1.0,-2.0,0.0,0.0,0,1
599,-0.7,-1.0,0.7000000000000002,2.0,0.0,-1.3,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,-1.0,-0.30000000000000004,0.2999999999999998,-1.0,0.0,0.0,0,0
600,-2.0,1.0,-2.0,1.7000000000000002,-1.3,1.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-1.0,0.2999999999999998,-2.0,-0.30000000000000004,1,0
601,0.0,1.0,2.0,0.0,0.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,0.7000000000000002,-1.3,0.0,0.0,0.7000000000000002,-2.0,-2.0,0,0
602,0.0,-1.0,0.7000000000000002,2.0,0.0,0.2999999999999998,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,0.0,-0.7,1.0,-1.3,0,0
603,-2.0,-2.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
604,1.0,1.0,2.0,1.7000000000000002,0.0,1.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-0.7,0.0,-2.0,-2.0,0,0
