,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308,cluster_label,graduated
990,2.0,2.0,2.0,2.0,1.2999999999999998,1.2999999999999998,2.0,1.2999999999999998,-2.0,-2.0,-2.0,1.0,1.7000000000000002,1.7000000000000002,1.0,1.7000000000000002,2.0,2.0,0,1
991,0.0,0.0,1.0,2.0,0.0,0.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,0.0,1.0,-0.30000000000000004,0.2999999999999998,1.0,-1.0,0.0,0,1
992,0.0,-1.0,1.0,1.2999999999999998,0.0,0.0,1.0,-2.0,-1.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,0.2999999999999998,0.0,-1.0,0.0,0,1
993,0.7000000000000002,1.0,2.0,1.0,0.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,2.0,2.0,1.0,1.7000000000000002,0.0,-2.0,0,0
994,-1.0,0.2999999999999998,2.0,2.0,0.0,0.0,-2.0,-2.0,-1.3,-2.0,-2.0,-2.0,1.0,1.0,0.0,1.0,-2.0,0.0,0,1
995,-2.0,-2.0,0.0,0.7000000000000002,0.0,0.0,1.7000000000000002,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
996,1.0,0.2999999999999998,1.2999999999999998,1.7000000000000002,1.7000000000000002,1.7000000000000002,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0,0.2999999999999998,1.0,1.2999999999999998,1.2999999999999998,1.2999999999999998,0,1
997,0.7000000000000002,0.0,0.7000000000000002,2.0,2.0,-1.3,1.2999999999999998,2.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,0.0,0.2999999999999998,-1.0,0.0,0.0,0,1
998,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-0.30000000000000004,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
999,-2.0,1.0,0.7000000000000002,2.0,2.0,0.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,1.0,0.7000000000000002,0.0,-0.7,-1.0,-2.0,0,0
1000,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-0.30000000000000004,-2.0,-2.0,-2.0,-2.0,-1.3,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1001,0.0,1.7000000000000002,0.7000000000000002,1.7000000000000002,2.0,1.0,1.2999999999999998,0.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
1002,-1.0,-2.0,-2.0,1.0,0.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
1003,0.0,0.0,2.0,-2.0,0.0,1.0,-2.0,-2.0,0.2999999999999998,0.0,-1.0,-2.0,0.0,1.2999999999999998,-0.30000000000000004,1.0,0.0,0.2999999999999998,0,0
1004,1.0,-1.0,1.7000000000000002,-2.0,-1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-0.30000000000000004,-2.0,0.0,-0.30000000000000004,-1.3,0.0,0,0
