,ACCT220,ECON309,ECON310,ECON311,ECON401,ENGL205,ENGL305,ENGL306,ECON160,ECON161,MATH103,MATH150A,MATH255A,MATH140,SOM120,cluster_label,graduated
674,2.0,1.0,2.0,1.2999999999999998,2.0,2.0,-2.0,-2.0,1.0,2.0,-2.0,0.0,0.0,2.0,-2.0,1,1
675,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,0,0
676,2.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.2999999999999998,2.0,-2.0,-2.0,2.0,-2.0,0,0
677,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,-2.0,-0.30000000000000004,-2.0,0,0
678,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,0.7000000000000002,-2.0,-2.0,-2.0,2.0,-2.0,0,0
679,1.0,-1.0,1.0,0.2999999999999998,-0.30000000000000004,2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,1,0
680,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,1.7000000000000002,-2.0,1.0,-2.0,-2.0,-2.0,1.7000000000000002,1,1
681,0.0,0.0,0.0,-0.7,-0.30000000000000004,-2.0,-2.0,-2.0,0.0,1.0,0.0,-2.0,-2.0,-1.0,-2.0,1,0
682,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,0,0
683,1.0,0.0,0.0,0.2999999999999998,-1.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,1
684,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,2.0,1.0,-2.0,0.0,0.0,0.0,-2.0,0,0
685,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,1.7000000000000002,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,0.0,0,0
686,1.0,0.0,0.7000000000000002,0.0,0.0,-2.0,-2.0,-2.0,2.0,2.0,1.0,-2.0,-2.0,-2.0,1.2999999999999998,1,0
687,0.0,1.0,0.2999999999999998,0.0,-0.30000000000000004,1.2999999999999998,-2.0,-2.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,-2.0,1,1
688,0.0,2.0,0.7000000000000002,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,1.7000000000000002,-2.0,1,1
689,2.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,2.0,0.0,-2.0,-2.0,1.7000000000000002,-2.0,0,0
