,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308,graduated,cluster_label
4298,-2.0,-2.0,-0.30000000000000004,0.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4299,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4300,1.0,0.0,-2.0,1.0,0.7000000000000002,-0.30000000000000004,-2.0,1.0,0.0,-2.0,-2.0,-2.0,1.2999999999999998,0.7000000000000002,1.0,1.2999999999999998,1.2999999999999998,-2.0,1.7000000000000002,-2.0,-1.0,1,1
4301,-2.0,1.0,2.0,1.0,1.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.2999999999999998,2.0,0.0,0.2999999999999998,-1.0,-1.0,1.7000000000000002,-2.0,-0.7,0,1
4302,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4303,1.2999999999999998,-0.30000000000000004,2.0,2.0,1.0,0.0,-2.0,2.0,-2.0,-2.0,-2.0,1.7000000000000002,2.0,-2.0,1.0,1.7000000000000002,0.7000000000000002,-0.30000000000000004,1.2999999999999998,-2.0,1.0,0,1
4304,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,1.7000000000000002,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4305,1.0,1.0,-2.0,2.0,0.0,-1.0,-2.0,1.0,-2.0,-2.0,-2.0,2.0,1.0,-2.0,-2.0,-0.7,0.0,-2.0,-2.0,-2.0,-2.0,0,1
4306,0.2999999999999998,2.0,-1.0,-2.0,-1.0,-1.0,0.0,0.2999999999999998,-2.0,-2.0,-2.0,0.0,2.0,1.0,1.2999999999999998,0.0,-0.30000000000000004,0.2999999999999998,0.2999999999999998,-2.0,0.0,1,1
4307,-2.0,-1.0,0.7000000000000002,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.7,1.0,1.0,-2.0,-2.0,0.0,-2.0,2.0,-2.0,0.0,1,1
4308,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4309,0.7000000000000002,0.7000000000000002,1.7000000000000002,1.7000000000000002,2.0,1.7000000000000002,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,1.0,1.7000000000000002,-2.0,2.0,2.0,0.2999999999999998,1.0,2.0,-2.0,1.2999999999999998,1,1
4310,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,1.0,0.0,-2.0,-0.30000000000000004,-0.30000000000000004,0.0,1.2999999999999998,-2.0,1.0,1,1
4311,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4312,2.0,2.0,0.0,2.0,2.0,-2.0,1.7000000000000002,2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4313,-1.3,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4314,2.0,-2.0,0.0,0.2999999999999998,1.0,2.0,1.0,1.7000000000000002,-2.0,-2.0,-2.0,1.0,1.7000000000000002,-2.0,1.7000000000000002,1.0,1.7000000000000002,0.2999999999999998,1.2999999999999998,-2.0,1.2999999999999998,1,1
4315,0.0,-2.0,1.2999999999999998,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4316,2.0,2.0,1.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,0.2999999999999998,1.2999999999999998,1.2999999999999998,1.0,2.0,0.2999999999999998,1.2999999999999998,-2.0,0.2999999999999998,1,1
4317,2.0,2.0,2.0,-2.0,1.0,1.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,1.0,0.0,1.0,0.7000000000000002,0.2999999999999998,0.0,1.0,-2.0,0.7000000000000002,1,1
4318,1.0,1.0,0.0,1.2999999999999998,-0.30000000000000004,1.0,1.2999999999999998,1.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,0,0
4319,-2.0,-2.0,0.0,1.0,1.0,-2.0,1.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4320,0.0,0.0,2.0,1.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-1.0,-0.7,0.2999999999999998,-1.3,-2.0,0.2999999999999998,-2.0,-2.0,0,1
4321,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4322,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4323,-1.0,-0.7,-2.0,1.7000000000000002,-1.0,-0.30000000000000004,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.7000000000000002,-0.30000000000000004,0.0,-0.30000000000000004,-1.3,-0.30000000000000004,0.7000000000000002,-2.0,0.0,0,1
4324,0.0,2.0,0.7000000000000002,1.7000000000000002,1.0,2.0,2.0,-2.0,-2.0,0.0,-2.0,1.0,2.0,0.2999999999999998,0.2999999999999998,1.0,0.7000000000000002,0.2999999999999998,0.7000000000000002,-2.0,1.2999999999999998,1,1
4325,-0.30000000000000004,2.0,1.0,2.0,0.0,2.0,1.2999999999999998,1.2999999999999998,-0.7,-2.0,-2.0,-2.0,0.7000000000000002,0.0,0.2999999999999998,-0.30000000000000004,0.0,-1.0,1.7000000000000002,-2.0,0.0,0,1
4326,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,-2.0,-2.0,-2.0,0.0,-0.30000000000000004,-2.0,1.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,0,1
4327,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4328,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4329,1.0,1.0,-0.30000000000000004,1.2999999999999998,0.0,1.0,1.7000000000000002,1.2999999999999998,-2.0,-2.0,-2.0,1.7000000000000002,0.2999999999999998,0.2999999999999998,1.0,0.0,1.0,0.0,1.2999999999999998,-2.0,0.7000000000000002,1,1
4330,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4331,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,1.2999999999999998,1.0,2.0,1.7000000000000002,1.2999999999999998,1.0,1.2999999999999998,-2.0,0.0,1,1
4332,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4333,0.0,1.0,1.7000000000000002,2.0,0.0,1.0,1.7000000000000002,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.2999999999999998,1.7000000000000002,0.7000000000000002,1.0,2.0,1.0,-2.0,1.2999999999999998,1,1
4334,-2.0,-2.0,-2.0,2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4335,0.0,0.0,1.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.7000000000000002,0.7000000000000002,-0.30000000000000004,0.0,0.0,0.0,1.0,-2.0,-1.0,1,1
4336,2.0,-1.0,-1.0,-2.0,2.0,0.2999999999999998,0.2999999999999998,-2.0,-2.0,2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.2999999999999998,-2.0,-2.0,-2.0,-2.0,0,0
4337,0.0,1.0,1.0,1.0,1.0,1.0,-0.30000000000000004,-2.0,-2.0,1.0,-2.0,2.0,1.0,1.0,0.7000000000000002,0.0,1.2999999999999998,0.2999999999999998,1.0,-2.0,-0.30000000000000004,1,1
4338,-1.0,-1.3,2.0,2.0,-2.0,-0.7,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.7000000000000002,-2.0,-2.0,-2.0,-1.3,-1.3,-2.0,-2.0,-2.0,0,0
4339,1.0,2.0,0.0,2.0,1.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.7000000000000002,0.0,-0.30000000000000004,1.2999999999999998,1.0,0.7000000000000002,2.0,-2.0,2.0,0,1
4340,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,2.0,-2.0,-2.0,-2.0,1.0,0.2999999999999998,0.2999999999999998,1.0,-1.0,0.0,1.0,-2.0,-2.0,-2.0,0,1
4341,0.0,0.7000000000000002,1.0,-0.7,1.0,1.0,1.2999999999999998,0.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,-0.30000000000000004,-2.0,-2.0,-2.0,0,0
4342,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4343,-2.0,-2.0,-1.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0
4344,-0.30000000000000004,-0.7,-2.0,1.0,2.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,1.2999999999999998,0.7000000000000002,0.0,0.2999999999999998,1.0,-2.0,0.7000000000000002,1,1
