,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355,cluster_label,graduated
2315,0.0,0.7000000000000002,0.0,1.0,2.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,1.7000000000000002,1.2999999999999998,1.0,0.2999999999999998,-2.0,1.0,-2.0,-2.0,0,1
2316,1.0,2.0,2.0,0.0,1.0,-2.0,1.0,2.0,1.0,-2.0,-2.0,0.2999999999999998,0.0,0.2999999999999998,0.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,0,1
2317,-2.0,-1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,1.7000000000000002,1.0,0.2999999999999998,0.0,0.0,-2.0,1.0,-2.0,-2.0,0,1
2318,-2.0,-2.0,1.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
2319,1.0,1.0,1.0,1.0,2.0,-2.0,1.0,2.0,1.0,-1.0,-2.0,0.0,0.2999999999999998,1.2999999999999998,0.0,1.0,-2.0,0.2999999999999998,-2.0,-2.0,0,1
2320,-2.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
2321,-2.0,1.0,1.0,0.0,1.7000000000000002,-2.0,-2.0,0.2999999999999998,2.0,-2.0,-2.0,0.7000000000000002,-2.0,2.0,0.0,0.0,-2.0,0.2999999999999998,-2.0,-2.0,1,1
2322,1.0,1.0,0.0,1.0,-2.0,-2.0,1.0,1.0,0.0,-2.0,-2.0,0.2999999999999998,1.0,0.0,0.7000000000000002,0.0,-2.0,0.0,-0.30000000000000004,-2.0,0,0
2323,1.0,-2.0,-2.0,0.2999999999999998,1.0,-2.0,2.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,0.7000000000000002,0.7000000000000002,1.0,-2.0,0.0,-2.0,-2.0,0,1
2324,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,-2.0,-2.0,0.2999999999999998,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
2325,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,1.0,-2.0,-2.0,2.0,2.0,2.0,1.7000000000000002,2.0,-2.0,2.0,2.0,-2.0,0,0
2326,1.7000000000000002,0.0,-2.0,-2.0,1.7000000000000002,-2.0,1.0,0.2999999999999998,0.7000000000000002,-2.0,-2.0,1.0,0.0,0.2999999999999998,1.2999999999999998,1.0,-2.0,-0.30000000000000004,0.7000000000000002,0.0,0,1
2327,1.0,1.0,0.0,1.0,-2.0,-2.0,1.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,1.0,0.2999999999999998,-2.0,0.2999999999999998,0.7000000000000002,0.7000000000000002,0,0
2328,-2.0,-2.0,2.0,1.0,0.0,-2.0,2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,0
2329,0.0,1.0,0.0,0.0,2.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,0.2999999999999998,1.0,1.0,0.0,1.7000000000000002,-2.0,-0.7,-2.0,-2.0,0,0
2330,0.0,0.0,1.0,0.0,-2.0,2.0,0.2999999999999998,-2.0,2.0,-2.0,-2.0,1.0,0.0,-0.30000000000000004,-1.0,0.7000000000000002,-2.0,-1.0,-2.0,-2.0,1,0
2331,0.0,1.0,1.0,1.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,0.2999999999999998,1.2999999999999998,0.2999999999999998,1.0,2.0,-2.0,0.2999999999999998,-2.0,-2.0,0,1
2332,2.0,1.0,0.0,0.0,2.0,-2.0,2.0,0.0,1.0,-2.0,-2.0,0.2999999999999998,0.2999999999999998,-0.7,0.0,1.0,-2.0,0.0,-2.0,0.7000000000000002,0,1
2333,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,2.0,-2.0,-2.0,-2.0,0.7000000000000002,0.0,0.0,0.0,0.2999999999999998,-2.0,-0.7,-2.0,-2.0,0,1
2334,-1.0,1.0,0.2999999999999998,1.0,2.0,-2.0,1.7000000000000002,0.0,1.2999999999999998,-2.0,-2.0,0.0,1.0,0.2999999999999998,0.7000000000000002,-0.30000000000000004,-2.0,0.0,-2.0,0.7000000000000002,0,0
2335,1.2999999999999998,1.0,0.0,0.0,2.0,-2.0,-2.0,0.2999999999999998,1.0,-2.0,-2.0,1.0,0.0,0.2999999999999998,0.2999999999999998,0.7000000000000002,-2.0,0.2999999999999998,-2.0,-2.0,0,1
2336,2.0,1.0,2.0,0.0,2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,-1.0,-0.7,0.0,-2.0,0.0,-2.0,-2.0,0,0
2337,1.0,1.0,1.0,2.0,2.0,-2.0,1.7000000000000002,1.0,1.0,-2.0,-2.0,1.0,0.0,1.2999999999999998,0.0,1.0,-2.0,0.2999999999999998,1.7000000000000002,0.0,0,1
2338,2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,-2.0,-2.0,1.7000000000000002,2.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0,1
2339,-0.7,1.2999999999999998,-1.0,-2.0,1.0,-2.0,-2.0,0.7000000000000002,0.0,-2.0,-2.0,0.2999999999999998,-2.0,-2.0,-2.0,-2.0,-2.0,0.7000000000000002,-2.0,-2.0,1,0
2340,2.0,-2.0,1.0,1.0,1.7000000000000002,-2.0,1.7000000000000002,0.0,1.0,-2.0,-2.0,0.2999999999999998,-0.7,0.7000000000000002,0.2999999999999998,0.7000000000000002,-2.0,-0.30000000000000004,-2.0,-2.0,0,0
2341,1.0,-2.0,0.0,1.0,1.7000000000000002,-2.0,-2.0,2.0,1.0,-2.0,-2.0,1.7000000000000002,-2.0,0.2999999999999998,0.7000000000000002,0.7000000000000002,-2.0,-0.7,1.2999999999999998,0.7000000000000002,0,1
2342,-1.0,0.2999999999999998,2.0,-1.0,1.2999999999999998,-2.0,1.2999999999999998,-0.7,1.0,-2.0,-2.0,1.2999999999999998,2.0,1.0,-0.30000000000000004,0.0,-2.0,0.2999999999999998,0.2999999999999998,0.2999999999999998,0,0
2343,1.0,1.2999999999999998,1.0,1.2999999999999998,0.7000000000000002,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,1.7000000000000002,1.2999999999999998,1.0,1.0,0.2999999999999998,-2.0,1.0,-2.0,-2.0,0,1
2344,2.0,-2.0,0.0,-1.0,0.0,-2.0,-2.0,0.2999999999999998,2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,1,1
2345,2.0,0.0,-1.0,-0.30000000000000004,1.7000000000000002,-2.0,1.2999999999999998,-1.0,0.0,-2.0,-2.0,1.0,0.0,1.2999999999999998,1.2999999999999998,0.0,-2.0,-0.30000000000000004,0.2999999999999998,-1.3,0,1
